name,main_common_name,category,year,code
Darwinia collina,Yellow Mountain Bell,Endangered,2000,EN
Darwinia ferricola,Scott River Darwinia,Endangered,2000,EN
Darwinia masonii,Mason's Darwinia,Vulnerable,2000,VU
Darwinia meeboldii,Cranbrook Bell,Vulnerable,2000,VU
Darwinia nubigena,"Success Bell, Red Mountain Bell",Vulnerable,2000,VU
Darwinia oxylepis,Gillam's Bell,Endangered,2000,EN
Darwinia polychroma,Harlequin Bell,Endangered,2000,EN
Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,2000,VU
Darwinia whicherensis,Abba Bell,Endangered,2000,EN
Darwinia wittwerorum,Wittwer's Mountain Bell,Endangered,2000,EN
Dasycercus cristicauda,Crest-tailed Mulgara,Vulnerable,2000,VU
Dasyornis brachypterus,Eastern Bristlebird,Endangered,2000,EN
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,2000,EX
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat ",Vulnerable,2000,VU
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,2000,VU
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri ",Endangered,2000,EN
Davidsonia jerseyana,Davidson's Plum,Endangered,2000,EN
Davidsonia johnsonii,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Endangered,2000,EN
Daviesia bursarioides,Three Springs Daviesia,Endangered,2000,EN
Daviesia cunderdin,Cunderdin Daviesia,Endangered,2000,EN
Daviesia discolor, ,Vulnerable,2000,VU
Daviesia elongata subsp. elongata,Long-leaved Daviesia,Vulnerable,2000,VU
Daviesia euphorbioides,Wongan Cactus,Endangered,2000,EN
Daviesia laevis,Grampians Bitter-pea,Vulnerable,2000,VU
Daviesia megacalyx,Long-sepalled Daviesia,Endangered,2000,EN
Daviesia microcarpa,Norseman Pea,Endangered,2000,EN
Daviesia pseudaphylla,Stirling Range Daviesia,Endangered,2000,EN
Daviesia speciosa,Beautiful Daviesia,Endangered,2000,EN
Decaspermum struckoilicum, ,Endangered,2000,EN
